Sequence No.,Pattern Date,Revision,Version,Insert Date,Time Stamp,Client Type,Operating System,Kernel,Client Version,Policy Version,Policy Serial,Policy Checksum,IPS Serial NO,IPS Checksum,HI Status,HI Reason,HI Description,Creation Time,Status,Last time status changed,Site Name,Attribute Extension,Full Name,Email,Job Title,Department,Employee Number,Employment Status,Office Phone,Mobile Phone,Home Phone,Auto-Protect On,Infected,Worst Detection,Last Scan Time,Last Virus Time,Accepts Content Update,Antivirus engine On,Download Insight On,SONAR On,Tamper Protection On,Intrusion Prevention On,IE Browser Protection On,Firefox Browser Protection On,Early Launch Antimalware On,Major Version,Minor Version,Restart Required,Restart Reason,Computer Name,Computer Domain Name,Current login domain,Last download time,Number Of Processors,Operating System Language,Total disk space,Total memory,Computer description,Service pack,Processor Type,Processor Clock,BIOS version,TPM device installed,IP Address1,IP Address2,IP Address3,IP Address4,Gateway1,Gateway2,Gateway3,Gateway4,MAC Address1,MAC Address2,MAC Address3,MAC Address4,DNS server 1,DNS server 2,WINS server 1,WINS server 2,DHCP server,Hardware Key,Free memory,Free disk space,Time zone offset,Network Threat Protection On,Server Name,Group Name,Domain Name,Current User,IPS Version,Deployment Status,UUID
181592,2016-11-06,1,2016-11-06 rev. 001,11/12/2016 15:47:55,11/15/2016 18:40:58,Symantec Endpoint Protection,Windows XP Professional,,11.0.6300.803,12.1.7004,5263-10/06/2016 12:52:33 388,,,,Disabled,Check is disabled,Host Integrity check is disabled.,08/01/2016 15:40:15,Enabled,11/15/2016 18:40:58,SZB-TF,,,,,,,,,,,Enabled,No,No detections,11/12/2016 02:00:04,Never,Yes,Enabled,Not installed,Not installed,Enabled,Not installed,Not installed,Not installed,Client not reporting status,11,0,No,,n8629-vcc-ws-01,WORKGROUP,LocalComputer,11/15/2016 01:51:37,2,Russian,80003 MB,1022 MB,,Service Pack 3,x86 Family 15 Model 4 Stepping 9,3014,GBT    - 42302e31,None,10.173.254.70,...,...,...,10.173.254.126,...,...,...,00-1a-4d-74-d6-b5,,,,10.185.10.106,10.65.128.249,0.0.0.0,0.0.0.0,0.0.0.0,EBDDC309C8DF6EC7355898A0238650AF,453 MB,62540 MB,-180,Not installed,SP-5500-TSYM-01,My Company\Default Group,Default,User,,No Status Reported.,
0,2016-11-07,8,2016-11-07 rev. 008,11/13/2016 02:25:21,11/15/2016 16:50:25,Symantec Endpoint Protection,Windows Server 2003 family Enterprise Edition,,12.1.5337.5000,12.1.7004,5263-10/06/2016 12:52:33 388,,,,Disabled,Check is disabled,Host Integrity check is disabled.  Host Integrity policy has been disabled by the administrator.,09/24/2015 10:28:07,Enabled,11/15/2016 16:50:25,SZB-TF2,,,,,,,,,,,Enabled,No,No detections,11/12/2016 02:00:01,Never,Yes,Enabled,Disabled by Policy - Basic protection,Not installed,Enabled,Not installed,Not installed,Not installed,Not installed,12,1,No,,sp-5500-ptps-01,hq.szb.sbrf.ru,HQ.SZB.SBRF.RU,11/15/2016 05:10:38,8,English,20465 MB,10227 MB,,Service Pack 2,x86 Family 6 Model 26 Stepping 5,2400,Xen - 0 Revision: 1.138,None,10.185.21.128,0.0.0.0,0.0.0.0,0.0.0.0,10.185.21.251,0.0.0.0,0.0.0.0,0.0.0.0,86-6d-36-ea-5a-78,,,,10.185.10.93,10.185.10.92,0.0.0.0,0.0.0.0,0.0.0.0,8F3DDF80B61AD36DBA3A19336B642272,9321 MB,8600 MB,-180,Not installed,Sp-5500-tsym-02,My Company\Default Group,Default,chtadmin,,Install successful.,8C0A3EE4-46B2-65CF-96A4-59BD9234A2D4
181476,2016-10-31,16,2016-10-31 rev. 016,11/05/2016 00:54:39,11/15/2016 16:50:25,Symantec Endpoint Protection,Windows Server 2003 family Enterprise Edition,,12.1.5337.5000,12.1.7004,5263-10/06/2016 12:52:33 388,,,,Disabled,Check is disabled,,08/04/2016 13:26:02,Enabled,11/15/2016 16:50:25,SZB-TF2,,,,,,,,,,,Enabled,No,No detections,11/12/2016 02:00:01,Never,Yes,Enabled,Disabled by Policy - Basic protection,Not installed,Enabled,Not installed,Not installed,Not installed,Client not reporting status,12,1,No,,ng-8629-1681-01,hq.szb.sbrf.ru,HQ.SZB.SBRF.RU,11/14/2016 06:10:48,2,English,34719 MB,767 MB,,Service Pack 2,x86 Family 15 Model 2 Stepping 9,2799,COMPAQ - 2 Default System BIOS,None,55.163.165.5,0.0.0.0,0.0.0.0,0.0.0.0,55.163.165.251,0.0.0.0,0.0.0.0,0.0.0.0,00-12-79-92-ef-c5,,,,10.185.10.106,10.185.10.105,0.0.0.0,0.0.0.0,0.0.0.0,46665139B57D67B142643DEDB14BAC06,440 MB,123 MB,-180,Not installed,Sp-5500-tsym-02,My Company\Default Group,Default,SVC-8629-Srv,,No Status Reported.,4233304A-4E4C-3247-3434-202020202020
0,2016-11-07,8,2016-11-07 rev. 008,11/13/2016 02:25:21,11/15/2016 16:50:25,Symantec Endpoint Protection,Windows Server 2008 R2 Standard Edition,,12.1.1000.157,12.1.7004,5263-10/06/2016 12:52:33 388,,,,Disabled,Check is disabled,Проверка целостности хоста выключена.  Политика целостности хоста выключена администратором.,06/16/2016 10:38:58,Enabled,11/15/2016 16:50:25,SZB-TF2,,,,,,,,,,,Enabled,No,No detections,11/12/2016 02:00:01,Never,Yes,Enabled,Disabled by Policy - Basic protection,Not installed,Enabled,Not installed,Not installed,Not installed,Client not reporting status,12,1,No,,M8627LN-KOZAL,hq.szb.sbrf.ru,HQ.SZB.SBRF.RU,11/10/2016 03:35:25,4,English,79837 MB,1868 MB,,Service Pack 1,Intel64 Family 6 Model 42 Stepping 7,3292,LENOVO - 116 LENOVO BIOS Rev: F1KT22A 0.0,None,10.171.154.200,0.0.0.0,0.0.0.0,0.0.0.0,10.171.154.240,0.0.0.0,0.0.0.0,0.0.0.0,d4-3d-7e-14-a0-03,,,,10.185.10.105,10.66.12.218,0.0.0.0,0.0.0.0,0.0.0.0,E5945B4AFC7FF83D5EC72B67C8039AAA,1438 MB,53091 MB,-180,Not installed,Sp-5500-tsym-02,My Company\Default Group,Default,8627TMUser0,,No Status Reported.,
0,2016-11-06,1,2016-11-06 rev. 001,11/12/2016 14:48:33,11/15/2016 16:50:25,Symantec Endpoint Protection,Windows Server 2003 family Enterprise Edition,,12.1.7004.6500,12.1.7004,5263-10/06/2016 12:52:33 388,,,,Disabled,Check is disabled,Host Integrity check is disabled.  Host Integrity policy has been disabled by the administrator.,02/15/2016 12:34:32,Enabled,11/15/2016 16:50:25,SZB-TF2,,,,,,,,,,,Enabled,No,No detections,11/12/2016 02:00:03,Never,Yes,Enabled,Disabled by Policy - Basic protection,Not installed,Enabled,Not installed,Not installed,Not installed,Not installed,12,1,No,,sp-5500-tptk-02,hq.szb.sbrf.ru,HQ.SZB.SBRF.RU,11/15/2016 05:46:58,8,English,20465 MB,4083 MB,,Service Pack 2,x86 Family 6 Model 44 Stepping 2,2933,Xen - 0 Revision: 1.138,None,10.185.221.187,0.0.0.0,0.0.0.0,0.0.0.0,10.185.221.129,0.0.0.0,0.0.0.0,0.0.0.0,0a-d0-43-e8-9e-a2,,,,10.185.10.93,10.185.10.92,0.0.0.0,0.0.0.0,0.0.0.0,00BC6777A4133518FA9BCEA8A8A12F9D,3228 MB,13587 MB,-180,Not installed,Sp-5500-tsym-02,My Company\Default Group,Default,chtadmin,,Install successful.,7D53C8C1-7DFD-8AA1-926B-A56F6CCDCA9A
0,2016-11-06,1,2016-11-06 rev. 001,11/12/2016 14:48:33,11/15/2016 16:50:25,Symantec Endpoint Protection,Windows Server 2003 family Enterprise Edition,,12.1.7004.6500,12.1.7004,5263-10/06/2016 12:52:33 388,,,,Disabled,Check is disabled,Host Integrity check is disabled.  Host Integrity policy has been disabled by the administrator.,01/04/2016 13:50:24,Enabled,11/15/2016 16:50:25,SZB-TF2,,,,,,,,,,,Enabled,No,No detections,11/12/2016 02:00:01,Never,Yes,Enabled,Disabled by Policy - Basic protection,Not installed,Enabled,Not installed,Not installed,Not installed,Not installed,12,1,No,,kr-8628-alfa,hq.szb.sbrf.ru,HQ.SZB.SBRF.RU,11/14/2016 06:52:21,4,English,34719 MB,1023 MB,,Service Pack 2,x86 Family 15 Model 2 Stepping 5,3049,COMPAQ - 2 Default System BIOS,None,10.155.100.16,0.0.0.0,0.0.0.0,0.0.0.0,10.155.100.253,0.0.0.0,0.0.0.0,0.0.0.0,00-0e-7f-ee-a7-25,,,,10.185.10.106,10.66.12.218,55.164.100.31,55.164.100.33,0.0.0.0,9308E72FBA95E518B1D1744DF55DC62F,423 MB,16585 MB,-180,Not installed,Sp-5500-tsym-02,My Company\Default Group,Default,8628SergeevAV-s,,Install successful.,30443038-444C-334E-3248-202020202020
0,2016-11-06,1,2016-11-06 rev. 001,11/12/2016 14:48:33,11/15/2016 16:50:25,Symantec Endpoint Protection,Windows Server 2003 family Enterprise Edition,,12.1.7004.6500,12.1.7004,5263-10/06/2016 12:52:33 388,,,,Disabled,Check is disabled,Host Integrity check is disabled.  Host Integrity policy has been disabled by the administrator.,10/22/2015 14:58:38,Enabled,11/15/2016 16:50:25,SZB-TF2,,,,,,,,,,,Enabled,No,No detections,11/12/2016 02:00:01,Never,Yes,Enabled,Disabled by Policy - Basic protection,Not installed,Enabled,Not installed,Not installed,Not installed,Not installed,12,1,No,,sp-5500-tway-05,hq.szb.sbrf.ru,HQ.SZB.SBRF.RU,11/14/2016 06:23:12,8,English,20465 MB,5107 MB,,Service Pack 2,x86 Family 6 Model 44 Stepping 2,2933,Xen - 0 Revision: 1.138,None,10.185.221.249,0.0.0.0,0.0.0.0,0.0.0.0,10.185.221.129,0.0.0.0,0.0.0.0,0.0.0.0,5a-1d-eb-fe-73-0f,,,,10.185.10.93,10.185.10.92,0.0.0.0,0.0.0.0,0.0.0.0,842903EFA75D4ABB68D6DF20E72275A3,4337 MB,8878 MB,-180,Not installed,Sp-5500-tsym-02,My Company\Default Group,Default,chtadmin,,Install successful.,9A97D003-4524-D13F-246C-4862BBEC38CB
181476,2016-10-31,16,2016-10-31 rev. 016,11/05/2016 00:54:39,11/15/2016 16:50:25,Symantec Endpoint Protection,Windows Server 2003 family Enterprise Edition,,12.1.5337.5000,12.1.7004,5263-10/06/2016 12:52:33 388,,,,Disabled,Check is disabled,,08/04/2016 13:58:17,Enabled,11/15/2016 16:50:25,SZB-TF2,,,,,,,,,,,Enabled,No,(Severity 0) Viral,10/29/2016 02:00:01,Never,Yes,Enabled,Disabled by Policy - Basic protection,Not installed,Enabled,Not installed,Not installed,Not installed,Client not reporting status,12,1,No,,ng-8629-srvr-02,hq.szb.sbrf.ru,HQ.SZB.SBRF.RU,11/14/2016 05:14:55,4,English,29990 MB,2047 MB,,Service Pack 2,x86 Family 15 Model 4 Stepping 1,3200,HP     - 2 Default System BIOS,None,10.173.22.102,0.0.0.0,0.0.0.0,0.0.0.0,10.173.16.251,0.0.0.0,0.0.0.0,0.0.0.0,00-13-21-f1-d2-b3,,,,10.185.10.106,10.185.10.105,0.0.0.0,0.0.0.0,0.0.0.0,8DECE4867C100CDA1E76E0BF275403DB,1004 MB,763 MB,-180,Not installed,Sp-5500-tsym-02,My Company\Default Group,Default,SVC-8629-Srv,,No Status Reported.,35303733-3639-4247-3835-323543445856
0,2016-11-07,8,2016-11-07 rev. 008,11/13/2016 02:25:21,11/15/2016 16:50:25,Symantec Endpoint Protection,Windows Server 2003 family Enterprise Edition,,12.1.5337.5000,12.1.7004,5263-10/06/2016 12:52:33 388,,,,Disabled,Check is disabled,Host Integrity check is disabled.  Host Integrity policy has been disabled by the administrator.,05/19/2016 10:23:22,Enabled,11/15/2016 16:50:25,SZB-TF2,,,,,,,,,,,Enabled,No,(Severity 0) Viral,11/12/2016 03:00:01,Never,Yes,Enabled,Disabled by Policy - Basic protection,Not installed,Enabled,Not installed,Not installed,Not installed,Not installed,12,1,No,,KG-PSLK-FSRV-01,hq.szb.sbrf.ru,HQ.SZB.SBRF.RU,11/14/2016 07:54:44,4,English,138903 MB,1023 MB,,Service Pack 2,x86 Family 15 Model 4 Stepping 1,3200,HP     - 2 Default System BIOS,None,55.162.150.200,0.0.0.0,0.0.0.0,0.0.0.0,55.162.150.251,0.0.0.0,0.0.0.0,0.0.0.0,00-12-79-a5-8e-b1,,,,10.185.10.105,10.185.10.106,0.0.0.0,0.0.0.0,0.0.0.0,44D9146637018FA3C1CDD98DAC36D6F7,114 MB,111182 MB,-120,Not installed,Sp-5500-tsym-02,My Company\Default Group,Default,8626vevadmin,,Install successful.,00000000-0000-0000-0000-000000000000
